fips,2021-01-12,2021-01-14,2021-01-15,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-16,2021-02-17,2021-02-18,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-28
2,5400,7013.0,9406.0,10802.0,11283.0,12352.0,13718.0,15206.0,16201.0,16673.0,16815.0,18097.0,20045.0,21593.0,23320.0,24545.0,25467.0,26207.0,27528.0,30172.0,32593.0,35773.0,39541.0,40812.0,41698.0,43552.0,46006.0,48969.0,52380.0,57117.0,60964.0,62474.0,65245.0,82272.0,84385.0,84984.0,87061.0,90416.0,92407.0,97692.0
1,7270,11699.0,13488.0,16346.0,17956.0,21345.0,24840.0,27422.0,29736.0,29978.0,30933.0,33595.0,37431.0,44073.0,53742.0,55331.0,56308.0,58825.0,62990.0,69155.0,76603.0,84278.0,86141.0,88453.0,95033.0,102520.0,111036.0,122019.0,133029.0,137032.0,149288.0,154341.0,165104.0,219639.0,221785.0,233073.0,247024.0,261689.0,278985.0,305731.0
5,8,16711.0,18781.0,21734.0,26541.0,26541.0,31600.0,31600.0,32572.0,33159.0,37055.0,40910.0,40910.0,45918.0,52118.0,56264.0,58613.0,59903.0,63356.0,68778.0,73810.0,81564.0,90308.0,94058.0,95202.0,103669.0,110751.0,118465.0,124040.0,130637.0,136415.0,138254.0,140662.0,157511.0,161470.0,163848.0,172653.0,184346.0,200253.0,226968.0
60,260,562.0,738.0,770.0,836.0,929.0,940.0,948.0,948.0,948.0,948.0,950.0,950.0,997.0,997.0,997.0,1046.0,1046.0,1305.0,1494.0,2252.0,2478.0,2478.0,2478.0,2885.0,3494.0,3685.0,4968.0,5308.0,5308.0,5860.0,5989.0,5989.0,7811.0,7818.0,7818.0,7979.0,7979.0,8037.0,8037.0
4,8343,16234.0,20837.0,30892.0,34788.0,41613.0,48938.0,55014.0,58291.0,62711.0,64551.0,68846.0,73927.0,80773.0,86990.0,92666.0,95671.0,96660.0,102107.0,111645.0,121227.0,136236.0,151392.0,161324.0,166798.0,177565.0,192542.0,207912.0,226158.0,244971.0,264416.0,267967.0,283955.0,376371.0,392139.0,398472.0,412825.0,438355.0,468913.0,535189.0
6,100089,170245.0,204374.0,260838.0,273276.0,293834.0,321839.0,341731.0,356382.0,371482.0,387563.0,417606.0,458585.0,487552.0,524350.0,558977.0,581985.0,592045.0,613845.0,625189.0,675027.0,727993.0,808832.0,847993.0,875340.0,928615.0,990128.0,1081040.0,1178577.0,1287390.0,1456222.0,1507829.0,1581541.0,1974488.0,2048326.0,2105613.0,2173394.0,2263406.0,2384283.0,2613260.0
8,36425,44087.0,47021.0,49897.0,51460.0,54474.0,62086.0,62086.0,76902.0,80467.0,82946.0,90200.0,98663.0,108507.0,118770.0,125078.0,130738.0,132752.0,140610.0,149829.0,162511.0,178975.0,197523.0,207951.0,211328.0,225626.0,239804.0,254037.0,271661.0,290991.0,308992.0,314557.0,322769.0,378242.0,392925.0,393719.0,413803.0,426938.0,439634.0,462155.0
9,4174,14052.0,17162.0,23150.0,25018.0,28602.0,33149.0,37098.0,40506.0,42421.0,45190.0,51939.0,59437.0,67624.0,73706.0,79511.0,83855.0,86602.0,90574.0,97568.0,106224.0,115349.0,123198.0,127194.0,133196.0,142918.0,154639.0,167894.0,183146.0,191978.0,206920.0,218777.0,231795.0,270792.0,277009.0,279804.0,283211.0,285804.0,290698.0,300264.0
11,0,6741.0,8250.0,10196.0,10553.0,11685.0,12045.0,12649.0,13043.0,13236.0,13293.0,14434.0,15177.0,16112.0,17029.0,18710.0,19217.0,19218.0,19753.0,21313.0,22719.0,24069.0,26151.0,26957.0,26957.0,26957.0,31786.0,33167.0,34388.0,36388.0,39060.0,39973.0,41311.0,53244.0,54187.0,55413.0,56711.0,58201.0,59551.0,66481.0
10,2784,5354.0,5354.0,6768.0,6919.0,7355.0,8847.0,10448.0,11464.0,11647.0,11724.0,12352.0,13121.0,14210.0,14956.0,16397.0,17628.0,18040.0,18568.0,20394.0,21264.0,22791.0,24245.0,25179.0,25405.0,26054.0,26864.0,27742.0,29423.0,31095.0,34002.0,35601.0,37499.0,46803.0,48311.0,50546.0,53019.0,56790.0,61985.0,71482.0
